UNDIRECTED	coref
cat=NOTEXIST,EXIST:exists
372612	paperref:254171	paperref:254168	|	exists=EXIST:P=0.0,1.0
357071	paperref:255289	paperref:257841	|
368187	paperref:257179	paperref:256056	|	exists=NOTEXIST:P=1.0,0.0
369688	paperref:253845	paperref:254949	|	exists=NOTEXIST:P=1.0,0.0
367709	paperref:255346	paperref:257180	|	exists=NOTEXIST:P=1.0,0.0
348456	paperref:254326	paperref:257025	|
354852	paperref:256899	paperref:258994	|	exists=NOTEXIST:P=1.0,0.0
340624	paperref:253801	paperref:255375	|
349765	paperref:256788	paperref:258762	|	exists=NOTEXIST:P=1.0,0.0
361692	paperref:255644	paperref:257604	|
370218	paperref:258561	paperref:254861	|	exists=NOTEXIST:P=1.0,0.0
342460	paperref:253899	paperref:255902	|	exists=NOTEXIST:P=1.0,0.0
348288	paperref:255480	paperref:255481	|	exists=EXIST:P=0.0,1.0
348229	paperref:256569	paperref:256678	|	exists=NOTEXIST:P=1.0,0.0
376246	paperref:254001	paperref:258146	|
332404	paperref:257678	paperref:257679	|	exists=EXIST:P=0.0,1.0
339305	paperref:257596	paperref:254750	|
363725	paperref:256589	paperref:258572	|
335601	paperref:254967	paperref:256767	|	exists=NOTEXIST:P=1.0,0.0
333218	paperref:254108	paperref:258683	|	exists=NOTEXIST:P=1.0,0.0
365183	paperref:254938	paperref:254869	|	exists=NOTEXIST:P=1.0,0.0
366797	paperref:257887	paperref:254290	|
342739	paperref:255050	paperref:253665	|	exists=NOTEXIST:P=1.0,0.0
345377	paperref:254843	paperref:253653	|	exists=NOTEXIST:P=1.0,0.0
356490	paperref:256261	paperref:253767	|	exists=NOTEXIST:P=1.0,0.0
344282	paperref:253943	paperref:257608	|	exists=NOTEXIST:P=1.0,0.0
350497	paperref:258489	paperref:254635	|
351784	paperref:253949	paperref:254890	|
339250	paperref:257596	paperref:256033	|
338100	paperref:258149	paperref:257594	|	exists=NOTEXIST:P=1.0,0.0
355765	paperref:254485	paperref:257199	|	exists=NOTEXIST:P=1.0,0.0
357501	paperref:253845	paperref:253875	|	exists=NOTEXIST:P=1.0,0.0
349159	paperref:256358	paperref:254514	|	exists=NOTEXIST:P=1.0,0.0
366043	paperref:258645	paperref:254185	|	exists=NOTEXIST:P=1.0,0.0
357161	paperref:253827	paperref:257608	|	exists=NOTEXIST:P=1.0,0.0
370415	paperref:256473	paperref:257200	|	exists=NOTEXIST:P=1.0,0.0
353653	paperref:257570	paperref:256049	|	exists=NOTEXIST:P=1.0,0.0
370039	paperref:257183	paperref:257193	|	exists=EXIST:P=0.0,1.0
363293	paperref:256586	paperref:255265	|
374783	paperref:256702	paperref:255762	|	exists=NOTEXIST:P=1.0,0.0
369919	paperref:255167	paperref:256052	|	exists=NOTEXIST:P=1.0,0.0
374422	paperref:257888	paperref:257196	|	exists=NOTEXIST:P=1.0,0.0
344187	paperref:256680	paperref:253943	|	exists=NOTEXIST:P=1.0,0.0
352209	paperref:258570	paperref:258982	|	exists=NOTEXIST:P=1.0,0.0
338476	paperref:257226	paperref:256678	|	exists=NOTEXIST:P=1.0,0.0
360290	paperref:258740	paperref:257999	|	exists=NOTEXIST:P=1.0,0.0
341603	paperref:257715	paperref:256038	|	exists=NOTEXIST:P=1.0,0.0
342409	paperref:253899	paperref:257258	|	exists=NOTEXIST:P=1.0,0.0
370870	paperref:257194	paperref:257609	|	exists=NOTEXIST:P=1.0,0.0
332356	paperref:258806	paperref:258809	|	exists=EXIST:P=0.0,1.0
373218	paperref:253845	paperref:255009	|	exists=NOTEXIST:P=1.0,0.0
336120	paperref:255228	paperref:257599	|	exists=NOTEXIST:P=1.0,0.0
340052	paperref:256869	paperref:254965	|	exists=NOTEXIST:P=1.0,0.0
335828	paperref:253951	paperref:253827	|
351072	paperref:257721	paperref:257192	|	exists=NOTEXIST:P=1.0,0.0
370859	paperref:257217	paperref:257609	|	exists=NOTEXIST:P=1.0,0.0
350268	paperref:253996	paperref:255375	|	exists=NOTEXIST:P=1.0,0.0
362012	paperref:254567	paperref:257198	|	exists=NOTEXIST:P=1.0,0.0
334164	paperref:257707	paperref:255264	|	exists=NOTEXIST:P=1.0,0.0
363709	paperref:256589	paperref:257610	|	exists=NOTEXIST:P=1.0,0.0
360717	paperref:253553	paperref:257606	|	exists=NOTEXIST:P=1.0,0.0
362429	paperref:257513	paperref:257196	|
350735	paperref:258821	paperref:253757	|
374237	paperref:257194	paperref:254971	|	exists=NOTEXIST:P=1.0,0.0
336080	paperref:253826	paperref:257599	|	exists=NOTEXIST:P=1.0,0.0
338190	paperref:257594	paperref:255375	|	exists=NOTEXIST:P=1.0,0.0
339188	paperref:254338	paperref:257224	|	exists=NOTEXIST:P=1.0,0.0
350728	paperref:253757	paperref:258970	|
367432	paperref:254104	paperref:256772	|	exists=NOTEXIST:P=1.0,0.0
366767	paperref:254290	paperref:256844	|	exists=NOTEXIST:P=1.0,0.0
350990	paperref:258803	paperref:257252	|	exists=NOTEXIST:P=1.0,0.0
354856	paperref:255230	paperref:256899	|	exists=NOTEXIST:P=1.0,0.0
374147	paperref:257194	paperref:254599	|	exists=NOTEXIST:P=1.0,0.0
333434	paperref:256622	paperref:255678	|	exists=NOTEXIST:P=1.0,0.0
368792	paperref:257176	paperref:254894	|
362548	paperref:253994	paperref:256039	|	exists=NOTEXIST:P=1.0,0.0
347501	paperref:254486	paperref:258154	|
352027	paperref:254483	paperref:256970	|	exists=NOTEXIST:P=1.0,0.0
375212	paperref:257058	paperref:254325	|	exists=NOTEXIST:P=1.0,0.0
373414	paperref:258229	paperref:256277	|
372602	paperref:256048	paperref:254171	|	exists=NOTEXIST:P=1.0,0.0
368625	paperref:257886	paperref:257177	|
366405	paperref:258573	paperref:254309	|	exists=NOTEXIST:P=1.0,0.0
345243	paperref:256968	paperref:257249	|	exists=NOTEXIST:P=1.0,0.0
376989	paperref:258291	paperref:253485	|
356097	paperref:254486	paperref:257892	|
341960	paperref:255900	paperref:253893	|	exists=NOTEXIST:P=1.0,0.0
367370	paperref:257218	paperref:254183	|	exists=NOTEXIST:P=1.0,0.0
352791	paperref:258988	paperref:258987	|	exists=EXIST:P=0.0,1.0
337403	paperref:253554	paperref:254600	|	exists=NOTEXIST:P=1.0,0.0
367632	paperref:258860	paperref:253908	|
334063	paperref:256764	paperref:254406	|	exists=NOTEXIST:P=1.0,0.0
333713	paperref:253955	paperref:253948	|	exists=EXIST:P=0.0,1.0
374114	paperref:254288	paperref:257892	|	exists=NOTEXIST:P=1.0,0.0
367836	paperref:254974	paperref:253589	|	exists=NOTEXIST:P=1.0,0.0
371629	paperref:256034	paperref:254752	|	exists=NOTEXIST:P=1.0,0.0
363561	paperref:257108	paperref:257790	|	exists=NOTEXIST:P=1.0,0.0
347468	paperref:253995	paperref:258154	|	exists=NOTEXIST:P=1.0,0.0
357956	paperref:256685	paperref:253405	|	exists=NOTEXIST:P=1.0,0.0
332613	paperref:257590	paperref:256454	|	exists=NOTEXIST:P=1.0,0.0
372149	paperref:256036	paperref:254751	|	exists=NOTEXIST:P=1.0,0.0
372954	paperref:256039	paperref:256486	|
355523	paperref:255791	paperref:253767	|	exists=NOTEXIST:P=1.0,0.0
356978	paperref:254481	paperref:257887	|	exists=NOTEXIST:P=1.0,0.0
375731	paperref:255263	paperref:255266	|	exists=EXIST:P=0.0,1.0
360230	paperref:254288	paperref:253891	|	exists=NOTEXIST:P=1.0,0.0
377727	paperref:257886	paperref:257889	|
351710	paperref:255101	paperref:254880	|	exists=NOTEXIST:P=1.0,0.0
361526	paperref:255643	paperref:254101	|
361117	paperref:255645	paperref:254949	|
346193	paperref:257231	paperref:256705	|
371043	paperref:258582	paperref:255806	|	exists=NOTEXIST:P=1.0,0.0
355660	paperref:258078	paperref:257953	|	exists=NOTEXIST:P=1.0,0.0
358631	paperref:257684	paperref:257692	|	exists=NOTEXIST:P=1.0,0.0
344780	paperref:254880	paperref:253944	|	exists=NOTEXIST:P=1.0,0.0
348555	paperref:258595	paperref:254474	|
361386	paperref:254104	paperref:255646	|	exists=NOTEXIST:P=1.0,0.0
356797	paperref:253826	paperref:255906	|	exists=NOTEXIST:P=1.0,0.0
354964	paperref:254939	paperref:255790	|
340641	paperref:253801	paperref:253897	|	exists=NOTEXIST:P=1.0,0.0
357771	paperref:253554	paperref:258131	|	exists=NOTEXIST:P=1.0,0.0
359392	paperref:257252	paperref:256035	|
350304	paperref:254482	paperref:255375	|
368236	paperref:257179	paperref:258673	|	exists=NOTEXIST:P=1.0,0.0
363651	paperref:255639	paperref:254677	|	exists=NOTEXIST:P=1.0,0.0
375974	paperref:254150	paperref:256049	|
350213	paperref:256039	paperref:255375	|	exists=NOTEXIST:P=1.0,0.0
335925	paperref:254982	paperref:257220	|	exists=NOTEXIST:P=1.0,0.0
355800	paperref:254485	paperref:257538	|	exists=NOTEXIST:P=1.0,0.0
351074	paperref:257721	paperref:257193	|	exists=NOTEXIST:P=1.0,0.0
338867	paperref:257223	paperref:257190	|	exists=NOTEXIST:P=1.0,0.0
337763	paperref:257595	paperref:253998	|	exists=NOTEXIST:P=1.0,0.0
332246	paperref:256769	paperref:257604	|	exists=NOTEXIST:P=1.0,0.0
374055	paperref:257188	paperref:256051	|	exists=NOTEXIST:P=1.0,0.0
347516	paperref:258154	paperref:257193	|	exists=NOTEXIST:P=1.0,0.0
375399	paperref:256900	paperref:254327	|
361728	paperref:255287	paperref:258748	|
349166	paperref:255047	paperref:254536	|	exists=NOTEXIST:P=1.0,0.0
373003	paperref:256398	paperref:255312	|	exists=NOTEXIST:P=1.0,0.0
360808	paperref:257518	paperref:253996	|	exists=NOTEXIST:P=1.0,0.0
334763	paperref:256392	paperref:256979	|
375198	paperref:256677	paperref:256592	|
368152	paperref:256034	paperref:257179	|	exists=NOTEXIST:P=1.0,0.0
340837	paperref:258416	paperref:253504	|	exists=NOTEXIST:P=1.0,0.0
372420	paperref:254893	paperref:256598	|	exists=NOTEXIST:P=1.0,0.0
342002	paperref:254768	paperref:255287	|	exists=NOTEXIST:P=1.0,0.0
375724	paperref:255478	paperref:255479	|	exists=EXIST:P=0.0,1.0
353981	paperref:257247	paperref:253993	|
372079	paperref:258221	paperref:258222	|	exists=EXIST:P=0.0,1.0
365345	paperref:255577	paperref:256541	|	exists=NOTEXIST:P=1.0,0.0
357307	paperref:253845	paperref:254482	|	exists=NOTEXIST:P=1.0,0.0
375350	paperref:256679	paperref:256595	|	exists=NOTEXIST:P=1.0,0.0
358702	paperref:255228	paperref:256677	|	exists=NOTEXIST:P=1.0,0.0
343603	paperref:258952	paperref:257602	|	exists=NOTEXIST:P=1.0,0.0
377747	paperref:257127	paperref:257321	|	exists=NOTEXIST:P=1.0,0.0
358569	paperref:255227	paperref:256678	|
344468	paperref:254585	paperref:253911	|	exists=NOTEXIST:P=1.0,0.0
342367	paperref:253899	paperref:255369	|	exists=NOTEXIST:P=1.0,0.0
358959	paperref:258150	paperref:253999	|	exists=NOTEXIST:P=1.0,0.0
371476	paperref:258557	paperref:258558	|	exists=EXIST:P=0.0,1.0
351521	paperref:256971	paperref:257248	|	exists=NOTEXIST:P=1.0,0.0
361743	paperref:253812	paperref:256794	|	exists=NOTEXIST:P=1.0,0.0
369680	paperref:254949	paperref:256771	|
337614	paperref:254577	paperref:255962	|	exists=NOTEXIST:P=1.0,0.0
339856	paperref:253805	paperref:258152	|	exists=NOTEXIST:P=1.0,0.0
337230	paperref:257197	paperref:257220	|
376125	paperref:257903	paperref:255317	|	exists=NOTEXIST:P=1.0,0.0
375675	paperref:257538	paperref:255902	|	exists=NOTEXIST:P=1.0,0.0
369659	paperref:257903	paperref:254949	|	exists=NOTEXIST:P=1.0,0.0
336804	paperref:257222	paperref:257220	|	exists=EXIST:P=0.0,1.0
352708	paperref:253933	paperref:254817	|	exists=NOTEXIST:P=1.0,0.0
343654	paperref:257015	paperref:258952	|
340312	paperref:258176	paperref:258348	|	exists=NOTEXIST:P=1.0,0.0
357079	paperref:257841	paperref:255663	|	exists=NOTEXIST:P=1.0,0.0
339921	paperref:253804	paperref:256036	|
375024	paperref:257192	paperref:254303	|	exists=NOTEXIST:P=1.0,0.0
349174	paperref:255047	paperref:257177	|
375826	paperref:257057	paperref:254860	|	exists=NOTEXIST:P=1.0,0.0
335989	paperref:254893	paperref:257599	|	exists=NOTEXIST:P=1.0,0.0
372555	paperref:257188	paperref:257606	|
370742	paperref:256595	paperref:257608	|	exists=NOTEXIST:P=1.0,0.0
354497	paperref:257245	paperref:256040	|	exists=NOTEXIST:P=1.0,0.0
347447	paperref:257890	paperref:258154	|	exists=NOTEXIST:P=1.0,0.0
368252	paperref:253429	paperref:258580	|	exists=NOTEXIST:P=1.0,0.0
347929	paperref:257944	paperref:257198	|	exists=NOTEXIST:P=1.0,0.0
339130	paperref:257224	paperref:255444	|	exists=NOTEXIST:P=1.0,0.0
338597	paperref:254839	paperref:257184	|	exists=NOTEXIST:P=1.0,0.0
332462	paperref:257219	paperref:253957	|	exists=NOTEXIST:P=1.0,0.0
349558	paperref:255729	paperref:255640	|
353588	paperref:258023	paperref:255933	|	exists=NOTEXIST:P=1.0,0.0
344761	paperref:256075	paperref:258932	|
366213	paperref:253352	paperref:254755	|
365948	paperref:255285	paperref:253720	|
378410	paperref:254388	paperref:254386	|
340927	paperref:255494	paperref:254588	|	exists=NOTEXIST:P=1.0,0.0
338785	paperref:257223	paperref:256598	|	exists=NOTEXIST:P=1.0,0.0
362282	paperref:253995	paperref:258146	|	exists=NOTEXIST:P=1.0,0.0
359256	paperref:256691	paperref:254859	|	exists=NOTEXIST:P=1.0,0.0
337044	paperref:258412	paperref:253736	|	exists=NOTEXIST:P=1.0,0.0
369369	paperref:257187	paperref:257184	|	exists=EXIST:P=0.0,1.0
365888	paperref:255562	paperref:255561	|	exists=EXIST:P=0.0,1.0
365456	paperref:255095	paperref:255093	|
364600	paperref:256015	paperref:255709	|	exists=NOTEXIST:P=1.0,0.0
335391	paperref:258520	paperref:258328	|
355548	paperref:253667	paperref:253913	|	exists=NOTEXIST:P=1.0,0.0
338443	paperref:257226	paperref:257538	|
357394	paperref:255076	paperref:255261	|	exists=NOTEXIST:P=1.0,0.0
357929	paperref:257057	paperref:257738	|	exists=NOTEXIST:P=1.0,0.0
348991	paperref:253623	paperref:255048	|	exists=NOTEXIST:P=1.0,0.0
339453	paperref:258232	paperref:255056	|
372065	paperref:257110	paperref:257984	|	exists=NOTEXIST:P=1.0,0.0
366547	paperref:257188	paperref:254306	|
345476	paperref:254486	paperref:256969	|	exists=NOTEXIST:P=1.0,0.0
371401	paperref:254177	paperref:254878	|	exists=NOTEXIST:P=1.0,0.0
338522	paperref:257226	paperref:253959	|
365599	paperref:255286	paperref:256186	|	exists=NOTEXIST:P=1.0,0.0
363382	paperref:255236	paperref:255289	|	exists=NOTEXIST:P=1.0,0.0
361023	paperref:257519	paperref:258145	|	exists=NOTEXIST:P=1.0,0.0
371420	paperref:257195	paperref:253430	|
362823	paperref:255901	paperref:253997	|
344965	paperref:258768	paperref:255934	|	exists=NOTEXIST:P=1.0,0.0
356091	paperref:254486	paperref:257199	|	exists=NOTEXIST:P=1.0,0.0
371014	paperref:258852	paperref:258001	|
359445	paperref:257252	paperref:257888	|	exists=NOTEXIST:P=1.0,0.0
376207	paperref:255474	paperref:255475	|	exists=EXIST:P=0.0,1.0
375063	paperref:255529	paperref:256678	|	exists=NOTEXIST:P=1.0,0.0
344589	paperref:253947	paperref:254919	|	exists=NOTEXIST:P=1.0,0.0
362791	paperref:257177	paperref:253997	|	exists=NOTEXIST:P=1.0,0.0
370465	paperref:257197	paperref:253791	|	exists=NOTEXIST:P=1.0,0.0
377724	paperref:257886	paperref:258151	|
359202	paperref:257512	paperref:257516	|	exists=EXIST:P=0.0,1.0
369253	paperref:254722	paperref:254723	|	exists=EXIST:P=0.0,1.0
349748	paperref:258051	paperref:258206	|	exists=NOTEXIST:P=1.0,0.0
356229	paperref:253451	paperref:258205	|	exists=NOTEXIST:P=1.0,0.0
367960	paperref:255344	paperref:257195	|
341240	paperref:253895	paperref:253993	|	exists=NOTEXIST:P=1.0,0.0
352830	paperref:254483	paperref:258627	|
368747	paperref:257887	paperref:257176	|
360790	paperref:257518	paperref:254003	|	exists=NOTEXIST:P=1.0,0.0
346735	paperref:253459	paperref:255165	|	exists=NOTEXIST:P=1.0,0.0
333963	paperref:253872	paperref:254986	|	exists=NOTEXIST:P=1.0,0.0
374554	paperref:254289	paperref:257891	|	exists=NOTEXIST:P=1.0,0.0
374200	paperref:257194	paperref:257891	|	exists=NOTEXIST:P=1.0,0.0
337637	paperref:254577	paperref:254824	|	exists=NOTEXIST:P=1.0,0.0
359492	paperref:255265	paperref:257622	|	exists=NOTEXIST:P=1.0,0.0
349306	paperref:255102	paperref:257249	|	exists=NOTEXIST:P=1.0,0.0
350881	paperref:257011	paperref:253946	|
332781	paperref:254408	paperref:254988	|	exists=NOTEXIST:P=1.0,0.0
359713	paperref:257253	paperref:257199	|
362673	paperref:257257	paperref:257186	|	exists=NOTEXIST:P=1.0,0.0
338402	paperref:257226	paperref:257199	|	exists=NOTEXIST:P=1.0,0.0
371197	paperref:258570	paperref:254650	|	exists=NOTEXIST:P=1.0,0.0
335342	paperref:253950	paperref:254879	|	exists=NOTEXIST:P=1.0,0.0
372962	paperref:256039	paperref:254289	|	exists=NOTEXIST:P=1.0,0.0
360283	paperref:258740	paperref:258848	|	exists=NOTEXIST:P=1.0,0.0
367352	paperref:254183	paperref:254972	|	exists=NOTEXIST:P=1.0,0.0
372859	paperref:255008	paperref:255009	|	exists=EXIST:P=0.0,1.0
370814	paperref:258851	paperref:258206	|
357717	paperref:253873	paperref:254103	|	exists=NOTEXIST:P=1.0,0.0
371753	paperref:255527	paperref:254890	|	exists=NOTEXIST:P=1.0,0.0
358643	paperref:257692	paperref:258224	|	exists=NOTEXIST:P=1.0,0.0
346805	paperref:257939	paperref:257212	|	exists=NOTEXIST:P=1.0,0.0
375568	paperref:255906	paperref:255903	|	exists=EXIST:P=0.0,1.0
336844	paperref:257222	paperref:257132	|	exists=NOTEXIST:P=1.0,0.0
344663	paperref:257450	paperref:253993	|	exists=NOTEXIST:P=1.0,0.0
335308	paperref:253950	paperref:253827	|
333776	paperref:253418	paperref:257592	|	exists=NOTEXIST:P=1.0,0.0
351812	paperref:253949	paperref:254105	|
337923	paperref:256877	paperref:257788	|
371718	paperref:253411	paperref:253410	|
356889	paperref:256648	paperref:253877	|	exists=NOTEXIST:P=1.0,0.0
379358	paperref:256916	paperref:257320	|	exists=NOTEXIST:P=1.0,0.0
367239	paperref:257606	paperref:254304	|
335358	paperref:258520	paperref:255286	|	exists=NOTEXIST:P=1.0,0.0
371723	paperref:257601	paperref:254890	|
369161	paperref:257975	paperref:255460	|	exists=NOTEXIST:P=1.0,0.0
338789	paperref:257223	paperref:258950	|
361295	paperref:253991	paperref:253992	|	exists=EXIST:P=0.0,1.0
345181	paperref:254186	paperref:257645	|
341673	paperref:257715	paperref:257186	|
361420	paperref:257607	paperref:255646	|	exists=NOTEXIST:P=1.0,0.0
353490	paperref:255664	paperref:258327	|	exists=NOTEXIST:P=1.0,0.0
372969	paperref:256039	paperref:258147	|	exists=NOTEXIST:P=1.0,0.0
352068	paperref:254274	paperref:258532	|	exists=NOTEXIST:P=1.0,0.0
348951	paperref:255402	paperref:256050	|
345821	paperref:254997	paperref:257958	|	exists=NOTEXIST:P=1.0,0.0
347022	paperref:254586	paperref:255060	|	exists=NOTEXIST:P=1.0,0.0
336591	paperref:253960	paperref:257194	|	exists=NOTEXIST:P=1.0,0.0
369353	paperref:257184	paperref:254150	|	exists=NOTEXIST:P=1.0,0.0
358078	paperref:257011	paperref:257183	|	exists=NOTEXIST:P=1.0,0.0
335383	paperref:258520	paperref:256830	|
343166	paperref:257252	paperref:253898	|	exists=NOTEXIST:P=1.0,0.0
358487	paperref:256839	paperref:256965	|	exists=NOTEXIST:P=1.0,0.0
375252	paperref:255901	paperref:256040	|	exists=NOTEXIST:P=1.0,0.0
376454	paperref:253845	paperref:255975	|	exists=NOTEXIST:P=1.0,0.0
351753	paperref:255101	paperref:257538	|	exists=NOTEXIST:P=1.0,0.0
344891	paperref:258915	paperref:253944	|	exists=NOTEXIST:P=1.0,0.0
360775	paperref:253553	paperref:257609	|	exists=NOTEXIST:P=1.0,0.0
350214	paperref:258149	paperref:255375	|
334095	paperref:256764	paperref:256597	|	exists=NOTEXIST:P=1.0,0.0
375554	paperref:255529	paperref:255906	|	exists=NOTEXIST:P=1.0,0.0
350117	paperref:255104	paperref:257891	|	exists=NOTEXIST:P=1.0,0.0
342209	paperref:253894	paperref:256486	|	exists=NOTEXIST:P=1.0,0.0
377129	paperref:253371	paperref:258292	|
346345	paperref:255049	paperref:257185	|	exists=NOTEXIST:P=1.0,0.0
332597	paperref:257590	paperref:258627	|
332309	paperref:256769	paperref:257607	|	exists=NOTEXIST:P=1.0,0.0
358106	paperref:256092	paperref:255201	|	exists=NOTEXIST:P=1.0,0.0
364882	paperref:255061	paperref:255060	|	exists=EXIST:P=0.0,1.0
349382	paperref:255729	paperref:254308	|	exists=NOTEXIST:P=1.0,0.0
344001	paperref:258796	paperref:256074	|
350358	paperref:256201	paperref:258040	|	exists=NOTEXIST:P=1.0,0.0
370508	paperref:256770	paperref:256474	|	exists=NOTEXIST:P=1.0,0.0
355368	paperref:254403	paperref:253876	|	exists=NOTEXIST:P=1.0,0.0
339901	paperref:253804	paperref:254753	|	exists=NOTEXIST:P=1.0,0.0
366436	paperref:254883	paperref:257184	|	exists=NOTEXIST:P=1.0,0.0
360803	paperref:257518	paperref:257175	|	exists=NOTEXIST:P=1.0,0.0
348017	paperref:257943	paperref:258327	|
371462	paperref:258880	paperref:258332	|	exists=NOTEXIST:P=1.0,0.0
352151	paperref:256682	paperref:254890	|	exists=NOTEXIST:P=1.0,0.0
340977	paperref:258372	paperref:256452	|
379244	paperref:258573	paperref:253845	|	exists=NOTEXIST:P=1.0,0.0
344598	paperref:258072	paperref:258697	|	exists=NOTEXIST:P=1.0,0.0
337412	paperref:254600	paperref:258915	|	exists=NOTEXIST:P=1.0,0.0
371834	paperref:256770	paperref:255552	|	exists=NOTEXIST:P=1.0,0.0
364184	paperref:258103	paperref:258097	|	exists=EXIST:P=0.0,1.0
367857	paperref:257601	paperref:254101	|	exists=NOTEXIST:P=1.0,0.0
339214	paperref:257224	paperref:254971	|	exists=NOTEXIST:P=1.0,0.0
345957	paperref:255101	paperref:256967	|	exists=NOTEXIST:P=1.0,0.0
350681	paperref:253948	paperref:254405	|	exists=NOTEXIST:P=1.0,0.0
371256	paperref:257601	paperref:254879	|	exists=NOTEXIST:P=1.0,0.0
346387	paperref:253758	paperref:253970	|	exists=NOTEXIST:P=1.0,0.0
374788	paperref:256676	paperref:255526	|	exists=NOTEXIST:P=1.0,0.0
378242	paperref:256847	paperref:256843	|	exists=EXIST:P=0.0,1.0
372513	paperref:256789	paperref:254632	|	exists=NOTEXIST:P=1.0,0.0
350619	paperref:257177	paperref:253948	|
347054	paperref:254884	paperref:257937	|	exists=NOTEXIST:P=1.0,0.0
371168	paperref:258573	paperref:258915	|	exists=NOTEXIST:P=1.0,0.0
333243	paperref:258683	paperref:257193	|	exists=NOTEXIST:P=1.0,0.0
332212	paperref:258601	paperref:258603	|	exists=EXIST:P=0.0,1.0
352941	paperref:258105	paperref:256891	|
359428	paperref:257252	paperref:256040	|
347342	paperref:258955	paperref:255528	|	exists=NOTEXIST:P=1.0,0.0
352763	paperref:257178	paperref:256745	|	exists=NOTEXIST:P=1.0,0.0
339656	paperref:257188	paperref:255056	|	exists=NOTEXIST:P=1.0,0.0
336979	paperref:254835	paperref:257186	|	exists=NOTEXIST:P=1.0,0.0
370423	paperref:253845	paperref:256473	|	exists=NOTEXIST:P=1.0,0.0
364414	paperref:258097	paperref:258102	|
365268	paperref:256604	paperref:256393	|
368646	paperref:253431	paperref:257177	|	exists=NOTEXIST:P=1.0,0.0
338086	paperref:256840	paperref:257594	|	exists=NOTEXIST:P=1.0,0.0
337629	paperref:254577	paperref:256788	|	exists=NOTEXIST:P=1.0,0.0
366051	paperref:255678	paperref:258771	|	exists=NOTEXIST:P=1.0,0.0
336649	paperref:257607	paperref:253960	|	exists=NOTEXIST:P=1.0,0.0
361733	paperref:258839	paperref:253812	|	exists=NOTEXIST:P=1.0,0.0
352525	paperref:253554	paperref:254792	|	exists=NOTEXIST:P=1.0,0.0
343581	paperref:254583	paperref:254591	|	exists=EXIST:P=0.0,1.0
377556	paperref:257538	paperref:258151	|
335226	paperref:254980	paperref:253950	|	exists=NOTEXIST:P=1.0,0.0
339037	paperref:258300	paperref:254567	|	exists=NOTEXIST:P=1.0,0.0
370806	paperref:258851	paperref:258003	|	exists=NOTEXIST:P=1.0,0.0
373760	paperref:255291	paperref:256452	|
365067	paperref:256014	paperref:254756	|	exists=NOTEXIST:P=1.0,0.0
344904	paperref:254023	paperref:254020	|
349262	paperref:257133	paperref:257219	|
354702	paperref:254485	paperref:257246	|	exists=NOTEXIST:P=1.0,0.0
338309	paperref:253800	paperref:256965	|	exists=NOTEXIST:P=1.0,0.0
335212	paperref:253950	paperref:257600	|
363778	paperref:258100	paperref:258105	|	exists=EXIST:P=0.0,1.0
349485	paperref:255729	paperref:254852	|	exists=NOTEXIST:P=1.0,0.0
375924	paperref:257046	paperref:256260	|	exists=NOTEXIST:P=1.0,0.0
363378	paperref:255236	paperref:254110	|	exists=NOTEXIST:P=1.0,0.0
367140	paperref:255099	paperref:254003	|	exists=NOTEXIST:P=1.0,0.0
347198	paperref:255254	paperref:253452	|	exists=NOTEXIST:P=1.0,0.0
332504	paperref:253957	paperref:258572	|	exists=NOTEXIST:P=1.0,0.0
361194	paperref:253995	paperref:257259	|	exists=NOTEXIST:P=1.0,0.0
333049	paperref:256034	paperref:257593	|	exists=NOTEXIST:P=1.0,0.0
377847	paperref:257883	paperref:258151	|	exists=NOTEXIST:P=1.0,0.0
372216	paperref:256106	paperref:255972	|	exists=NOTEXIST:P=1.0,0.0
355295	paperref:256277	paperref:257016	|	exists=NOTEXIST:P=1.0,0.0
347078	paperref:258044	paperref:257937	|
336931	paperref:253601	paperref:258667	|	exists=NOTEXIST:P=1.0,0.0
334115	paperref:256978	paperref:257538	|	exists=NOTEXIST:P=1.0,0.0
338199	paperref:258153	paperref:257594	|	exists=NOTEXIST:P=1.0,0.0
353776	paperref:257171	paperref:258669	|	exists=NOTEXIST:P=1.0,0.0
352283	paperref:258543	paperref:256956	|	exists=NOTEXIST:P=1.0,0.0
364495	paperref:253779	paperref:256590	|
372838	paperref:254675	paperref:254895	|	exists=NOTEXIST:P=1.0,0.0
362843	paperref:255640	paperref:254893	|	exists=NOTEXIST:P=1.0,0.0
339720	paperref:255056	paperref:255905	|	exists=NOTEXIST:P=1.0,0.0
366934	paperref:254307	paperref:254676	|	exists=NOTEXIST:P=1.0,0.0
378699	paperref:255689	paperref:255685	|	exists=EXIST:P=0.0,1.0
336149	paperref:254892	paperref:257221	|	exists=NOTEXIST:P=1.0,0.0
360693	paperref:254980	paperref:258746	|	exists=NOTEXIST:P=1.0,0.0
356365	paperref:258150	paperref:254483	|
370709	paperref:258571	paperref:257608	|
354031	paperref:257247	paperref:257893	|	exists=NOTEXIST:P=1.0,0.0
375346	paperref:256679	paperref:255906	|	exists=NOTEXIST:P=1.0,0.0
373951	paperref:257189	paperref:258676	|	exists=NOTEXIST:P=1.0,0.0
371697	paperref:256186	paperref:257885	|
337360	paperref:257223	paperref:254600	|
377779	paperref:257126	paperref:257327	|	exists=NOTEXIST:P=1.0,0.0
346087	paperref:257245	paperref:258619	|	exists=NOTEXIST:P=1.0,0.0
